date,pnl,total_capital,daily_return
2024-03-01,0.0,1000000.0,0.0
2024-03-04,0.0,1000000.0,0.0
2024-03-05,0.0,1000000.0,0.0
2024-03-06,0.0,1000000.0,0.0
2024-03-07,0.0,1000000.0,0.0
2024-03-08,0.0,1000000.0,0.0
2024-03-11,0.0,1000000.0,0.0
2024-03-12,0.0,1000000.0,0.0
2024-03-13,0.0,1000000.0,0.0
2024-03-14,0.0,1000000.0,0.0
2024-03-15,0.0,1000000.0,0.0
2024-03-18,0.0,1000000.0,0.0
2024-03-19,0.0,1000000.0,0.0
2024-03-20,0.0,1000000.0,0.0
2024-03-21,0.0,1000000.0,0.0
2024-03-22,0.0,1000000.0,0.0
2024-03-25,0.0,1000000.0,0.0
2024-03-26,0.0,1000000.0,0.0
2024-03-27,0.0,1000000.0,0.0
2024-03-28,0.0,1000000.0,0.0
2024-04-01,0.0,1000000.0,0.0
2024-04-02,0.0,1000000.0,0.0
2024-04-03,-1366.4499511717443,1000000.0,-0.0013664499511717443
2024-04-04,829.6082458495943,998633.5500488282,0.0008307434151486605
2024-04-05,-921.0534858703468,999463.1582946779,-0.0009215482113836826
2024-04-08,182.530197143545,998542.1048088075,0.00018279669556697797
2024-04-09,1279.3537483215955,998724.635005951,0.0012809874749049044
2024-04-10,-1783.2476921081316,1000003.9887542727,-0.001783240579199652
2024-04-11,-489.9185028076211,998220.7410621645,-0.0004907917484126001
2024-04-12,183.5427932738386,997730.8225593569,0.00018396023168154585
2024-04-15,5869.194721222019,997914.3653526307,0.005881461300687896
2024-04-16,-3382.7069396972693,1003783.5600738528,-0.003369956506807492
2024-04-17,-2534.2659912109416,1000400.8531341555,-0.002533250529796472
2024-04-18,5975.4772644043205,997866.5871429446,0.005988252679662409
2024-04-19,6806.81010818483,1003842.0644073489,0.006780757999221176
2024-04-22,-2623.7146873475504,1010648.8745155337,-0.002596069469334994
2024-04-23,8071.942920684903,1008025.1598281862,0.00800768000876162
2024-04-24,0.0,1016097.1027488711,0.0
2024-04-25,0.0,1016097.1027488711,0.0
2024-04-26,0.0,1016097.1027488711,0.0
2024-04-29,0.0,1016097.1027488711,0.0
2024-04-30,0.0,1016097.1027488711,0.0
2024-05-01,0.0,1016097.1027488711,0.0
2024-05-02,0.0,1016097.1027488711,0.0
2024-05-03,0.0,1016097.1027488711,0.0
2024-05-06,0.0,1016097.1027488711,0.0
2024-05-07,0.0,1016097.1027488711,0.0
2024-05-08,0.0,1016097.1027488711,0.0
2024-05-09,0.0,1016097.1027488711,0.0
2024-05-10,0.0,1016097.1027488711,0.0
2024-05-13,0.0,1016097.1027488711,0.0
2024-05-14,0.0,1016097.1027488711,0.0
2024-05-15,0.0,1016097.1027488711,0.0
2024-05-16,0.0,1016097.1027488711,0.0
2024-05-17,0.0,1016097.1027488711,0.0
2024-05-20,0.0,1016097.1027488711,0.0
2024-05-21,2124.382965087919,1016097.1027488711,0.002090728296873179
